galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
11,4.239E-17,3.1234E-19,4.9758E-17,4.1246E-19,5.6036E-17,3.0967E-19,6.021E-17,3.3273E-19,1.2203E-16,4.4958E-19,1.5808E-16,5.8237E-19,1.4644E-16,2.6976E-19,3.2604E-17,1.5015E-19,9.5426E-17,1.7578E-19,1.5448E-16,1.4228E-19,1.5349E-16,1.4137E-19,1.4564E-16,1.3414E-19,0.021
12,2.2337E-18,1.8516E-19,3.3191E-18,2.3845E-19,3.202E-18,1.976E-19,3.9285E-18,2.1348E-19,1.081E-17,3.2856E-19,2.1929E-17,6.0593E-19,3.0579E-17,3.943E-19,1.5102E-18,1.0015E-19,8.0209E-18,1.1081E-19,2.0409E-17,1.6918E-19,2.7128E-17,1.749E-19,3.2287E-17,2.0816E-19,0.021
13,1.8436E-18,3.5659E-20,2.4597E-18,5.4371E-20,2.9463E-18,4.3418E-20,3.1425E-18,4.3415E-20,7.8501E-18,7.2302E-20,1.4524E-17,1.2039E-19,1.5764E-17,7.2598E-20,1.1326E-18,1.7734E-20,5.9659E-18,2.1979E-20,1.3642E-17,3.7694E-20,1.5779E-17,4.3599E-20,1.6281E-17,2.999E-20,0.021
14,5.9106E-18,1.3065E-19,7.1983E-18,1.6575E-19,9.146E-18,1.432E-19,9.909E-18,1.369E-19,2.4167E-17,2.2259E-19,4.9571E-17,4.1091E-19,6.1437E-17,2.8293E-19,3.6714E-18,5.7485E-20,1.8333E-17,8.4426E-20,4.4919E-17,1.2412E-19,5.6497E-17,1.5611E-19,6.3919E-17,1.1774E-19,0.021
15,1.6364E-19,1.8237E-20,2.6223E-19,2.9224E-20,3.4856E-19,2.2152E-20,3.7075E-19,2.2879E-20,1.0942E-18,4.031E-20,2.6958E-18,7.2004E-20,3.5211E-18,4.8646E-20,8.7474E-20,8.1373E-21,7.9631E-19,1.2468E-20,2.4495E-18,2.0305E-20,3.271E-18,2.4102E-20,3.6905E-18,2.3793E-20,0.021
16,1.3061E-18,1.6841E-20,1.7028E-18,2.3525E-20,2.0662E-18,1.7127E-20,2.3441E-18,1.9431E-20,6.5701E-18,3.0256E-20,1.5037E-17,5.54E-20,2.0757E-17,3.8236E-20,8.4951E-19,7.8243E-21,4.7816E-18,8.808E-21,1.3365E-17,2.4619E-20,1.8381E-17,1.693E-20,2.2303E-17,2.0542E-20,0.021
17,1.3493E-17,2.3612E-19,1.5606E-17,2.8748E-19,1.7575E-17,2.4281E-19,1.8971E-17,2.4463E-19,4.5846E-17,3.378E-19,6.8628E-17,5.6888E-19,7.6931E-17,3.5428E-19,1.0688E-17,1.1813E-19,3.3736E-17,1.2429E-19,6.5118E-17,1.7993E-19,7.408E-17,2.0469E-19,7.9232E-17,1.4595E-19,0.021
18,7.9221E-18,2.9186E-20,9.1126E-18,3.3572E-20,1.0131E-17,2.7992E-20,1.0865E-17,3.0022E-20,2.1779E-17,4.0119E-20,2.6136E-17,4.8145E-20,2.3683E-17,2.1813E-20,6.2696E-18,1.1549E-20,1.7094E-17,1.5744E-20,2.5778E-17,2.3742E-20,2.5029E-17,1.5744E-20,2.3315E-17,1.1549E-20,0.021
19,1.1009E-17,5.0699E-20,1.2852E-17,7.102E-20,1.4688E-17,5.4112E-20,1.5522E-17,5.7186E-20,3.9279E-17,7.2354E-20,5.956E-17,1.0971E-19,6.4589E-17,5.9488E-20,8.1537E-18,2.253E-20,2.8957E-17,2.6671E-20,5.6462E-17,5.2003E-20,6.341E-17,5.8403E-20,6.6521E-17,6.1268E-20,0.021
20,1.1761E-17,1.1915E-19,1.427E-17,1.3143E-19,1.6294E-17,1.0505E-19,1.8282E-17,1.1787E-19,4.2977E-17,1.9791E-19,6.9061E-17,2.5443E-19,7.8638E-17,1.4486E-19,8.5829E-18,5.5336E-20,3.2362E-17,5.9613E-20,6.4988E-17,5.9856E-20,7.5376E-17,6.9424E-20,8.0322E-17,7.3979E-20,0.021
21,2.3372E-17,7.5343E-19,2.956E-17,1.0618E-18,3.5408E-17,7.8269E-19,3.8115E-17,7.7232E-19,7.8469E-17,1.3732E-18,1.2266E-16,1.8076E-18,1.2529E-16,1.1539E-18,1.5743E-17,3.7701E-19,6.1987E-17,4.5674E-19,1.1921E-16,5.4897E-19,1.254E-16,5.7749E-19,1.2668E-16,5.8337E-19,0.021
22,2.8689E-17,3.435E-19,3.1865E-17,4.6957E-19,3.4207E-17,3.7806E-19,3.51E-17,3.2328E-19,7.2262E-17,4.6589E-19,8.2891E-17,6.1076E-19,7.5043E-17,3.4558E-19,2.4463E-17,2.0278E-19,5.6093E-17,1.5499E-19,8.198E-17,1.5101E-19,7.8724E-17,2.1752E-19,7.415E-17,2.0488E-19,0.021
23,5.7261E-18,2.1096E-19,7.0512E-18,2.7926E-19,7.7386E-18,1.9957E-19,8.2312E-18,2.1985E-19,2.1157E-17,3.3127E-19,3.2799E-17,4.8334E-19,3.593E-17,3.3093E-19,4.4001E-18,9.7263E-20,1.5426E-17,1.1366E-19,3.1007E-17,1.7135E-19,3.5503E-17,1.1366E-19,3.7554E-17,9.7263E-20,0.021
24,3.9641E-18,1.8255E-20,4.6617E-18,2.1468E-20,5.382E-18,1.9828E-20,5.6773E-18,1.5687E-20,1.4353E-17,2.6439E-20,2.2916E-17,4.2213E-20,2.5453E-17,2.3443E-20,2.8929E-18,1.0658E-20,1.064E-17,9.7998E-21,2.1584E-17,1.988E-20,2.4805E-17,2.2846E-20,2.636E-17,2.4278E-20,0.021
25,4.3692E-18,1.167E-19,4.8217E-18,1.5099E-19,5.2E-18,1.1016E-19,5.4001E-18,1.1937E-19,1.1902E-17,1.6443E-19,1.3766E-17,2.1554E-19,1.2636E-17,1.1638E-19,3.558E-18,6.2263E-20,8.9455E-18,5.7674E-20,1.3552E-17,6.2409E-20,1.3341E-17,6.144E-20,1.2508E-17,5.7603E-20,0.021
26,6.9298E-19,2.553E-21,8.1493E-19,3.7529E-21,9.3998E-19,2.5973E-21,9.8701E-19,2.7272E-21,2.2404E-18,4.1269E-21,3.2473E-18,5.9817E-21,3.2175E-18,2.9634E-21,4.9833E-19,1.3769E-21,1.7089E-18,1.574E-21,3.1183E-18,2.8721E-21,3.2864E-18,3.0269E-21,3.2623E-18,3.0047E-21,0.021
27,2.4552E-18,4.0703E-20,2.8846E-18,5.5793E-20,3.3828E-18,4.9851E-20,3.6248E-18,4.3401E-20,8.9388E-18,7.4097E-20,1.4115E-17,1.04E-19,1.5984E-17,5.8887E-20,1.7591E-18,2.1062E-20,6.5899E-18,2.4278E-20,1.3283E-17,3.6701E-20,1.5321E-17,4.2333E-20,1.6356E-17,3.0129E-20,0.021
28,1.2679E-17,2.3355E-19,1.6667E-17,3.3773E-19,1.9084E-17,2.4608E-19,2.1216E-17,2.5403E-19,4.445E-17,3.2752E-19,7.1428E-17,5.263E-19,7.0254E-17,3.8824E-19,8.1484E-18,1.0507E-19,3.5113E-17,1.2936E-19,6.8151E-17,1.8831E-19,7.2156E-17,1.9937E-19,7.0969E-17,1.961E-19,0.021
29,5.4755E-19,2.6811E-20,7.2114E-19,2.6811E-20,9.6388E-19,5.5041E-20,9.5504E-19,6.0694E-20,2.7978E-18,1.005E-19,7.4203E-18,1.982E-19,1.1138E-17,1.3336E-19,2.8656E-19,2.3226E-20,2.0971E-18,3.2836E-20,6.5951E-18,6.6817E-20,9.719E-18,7.1612E-20,1.1946E-17,6.6016E-20,0.021
30,4.2708E-18,2.1241E-19,5.235E-18,2.7965E-19,5.3618E-18,2.0248E-19,5.7084E-18,2.2608E-19,1.3518E-17,2.9881E-19,1.6554E-17,4.4217E-19,1.6088E-17,2.5191E-19,3.1806E-18,1.0546E-19,9.9566E-18,1.1004E-19,1.68E-17,1.3926E-19,1.7097E-17,1.2597E-19,1.6723E-17,1.3862E-19,0.021
31,8.4342E-19,4.8163E-20,1.2464E-18,7.5764E-20,1.559E-18,5.6E-20,1.83E-18,6.7419E-20,5.0124E-18,1.108E-19,1.3075E-17,1.9268E-19,1.8589E-17,1.3697E-19,4.8355E-19,2.3605E-20,3.7021E-18,3.4097E-20,1.1441E-17,6.3223E-20,1.637E-17,7.5386E-20,2.0139E-17,7.4196E-20,0.021
32,1.1185E-18,8.2411E-21,1.5382E-18,1.2751E-20,1.9707E-18,9.0754E-21,2.2132E-18,1.0192E-20,6.4897E-18,1.7932E-20,1.7275E-17,3.1822E-20,2.4878E-17,2.2914E-20,6.1351E-19,3.3904E-21,4.7843E-18,4.4065E-21,1.5241E-17,1.4038E-20,2.1929E-17,2.0197E-20,2.6929E-17,0.0,0.021
33,3.5444E-20,2.0893E-21,4.6595E-20,3.1328E-21,6.6243E-20,2.5015E-21,7.1505E-20,2.6344E-21,1.955E-19,4.5015E-21,5.8015E-19,9.0837E-21,8.3857E-19,6.1788E-21,2.0698E-20,1.0866E-21,1.4694E-19,1.624E-21,4.9333E-19,2.7262E-21,7.2902E-19,3.3573E-21,9.0519E-19,3.3348E-21,0.021
34,2.0719E-17,8.7782E-19,2.1656E-17,1.1568E-18,2.6447E-17,9.0126E-19,2.6642E-17,9.8154E-19,5.7806E-17,1.2778E-18,7.2573E-17,2.0053E-18,6.7604E-17,1.0585E-18,1.5079E-17,5.4164E-19,4.3931E-17,4.4508E-19,7.053E-17,5.1968E-19,7.0595E-17,5.8518E-19,6.6738E-17,5.5321E-19,0.021
35,1.2041E-17,9.9814E-20,1.441E-17,1.3272E-19,1.6469E-17,1.0618E-19,1.7518E-17,1.1294E-19,4.0539E-17,1.8669E-19,6.1471E-17,2.2647E-19,6.1528E-17,1.7001E-19,8.8282E-18,4.8787E-20,3.0837E-17,5.6804E-20,5.8543E-17,5.392E-20,6.2845E-17,5.7883E-20,6.2788E-17,5.7829E-20,0.021
36,1.9303E-17,6.4004E-19,2.2952E-17,7.6103E-19,2.6499E-17,5.6134E-19,2.9351E-17,6.2177E-19,6.1267E-17,8.4643E-19,7.7844E-17,1.1472E-18,7.6918E-17,6.3759E-19,1.522E-17,3.2243E-19,4.7558E-17,3.0662E-19,7.6705E-17,3.5324E-19,7.7916E-17,3.5882E-19,7.5792E-17,3.4904E-19,0.021
37,1.067E-17,6.1912E-19,1.1884E-17,9.5225E-19,1.4553E-17,6.702E-19,1.4526E-17,6.8234E-19,3.8883E-17,1.1818E-18,6.7446E-17,1.7394E-18,6.8008E-17,1.0648E-18,5.7724E-18,3.0836E-19,2.8904E-17,3.4608E-19,6.2598E-17,5.1889E-19,7.0042E-17,5.806E-19,7.1082E-17,5.2375E-19,0.021
38,1.6079E-17,2.0733E-19,1.8174E-17,2.8456E-19,1.9781E-17,2.0041E-19,2.0167E-17,2.0432E-19,4.453E-17,3.2811E-19,5.2997E-17,3.905E-19,4.7321E-17,2.1792E-19,1.3154E-17,1.0904E-19,3.4061E-17,9.4113E-20,5.227E-17,1.4443E-19,5.0519E-17,1.3959E-19,4.706E-17,1.3003E-19,0.021
39,1.1281E-17,9.3514E-20,1.2953E-17,1.3123E-19,1.4762E-17,8.158E-20,1.5935E-17,1.0274E-19,3.6945E-17,1.3611E-19,5.7485E-17,2.1178E-19,6.4678E-17,1.1914E-19,8.7329E-18,4.826E-20,2.7897E-17,5.1388E-20,5.4095E-17,4.9823E-20,6.1824E-17,5.1388E-20,6.6736E-17,6.1466E-20,0.021
40,5.4189E-19,6.4883E-21,6.7969E-19,8.1383E-21,8.1042E-19,6.7179E-21,8.8861E-19,7.366E-21,2.3676E-18,1.0903E-20,4.9512E-18,1.8241E-20,6.7595E-18,1.2451E-20,3.7976E-19,2.7982E-21,1.7327E-18,3.1917E-21,4.4413E-18,4.0906E-21,5.9582E-18,5.4877E-21,7.1831E-18,2.7982E-21,0.021
41,1.7446E-17,3.053E-19,2.1562E-17,3.9719E-19,2.4963E-17,2.9889E-19,2.6091E-17,3.124E-19,5.8411E-17,4.8419E-19,9.1726E-17,7.6035E-19,9.0301E-17,4.1585E-19,1.1762E-17,1.5167E-19,4.5719E-17,1.6843E-19,8.898E-17,2.4586E-19,9.2917E-17,2.5674E-19,9.0969E-17,2.5136E-19,0.021
42,6.9212E-18,3.1236E-19,8.4447E-18,4.2E-19,1.1204E-17,3.5086E-19,1.1776E-17,3.5791E-19,3.0018E-17,5.5296E-19,6.0727E-17,1.0068E-18,7.6451E-17,5.6331E-19,4.3953E-18,1.5383E-19,2.2459E-17,1.6548E-19,5.5079E-17,2.5365E-19,6.9468E-17,3.1991E-19,7.8883E-17,3.6327E-19,0.021
43,1.2749E-18,2.231E-20,1.5641E-18,2.8812E-20,1.6915E-18,2.1811E-20,1.8667E-18,2.0631E-20,4.2803E-18,3.548E-20,6.6111E-18,4.8712E-20,7.4657E-18,3.4381E-20,9.6443E-19,1.1548E-20,3.2171E-18,1.1852E-20,6.2154E-18,1.7174E-20,7.1363E-18,1.9718E-20,7.5835E-18,1.3969E-20,0.021
44,3.9959E-17,5.5205E-19,4.7688E-17,7.0276E-19,5.331E-17,5.4011E-19,5.7971E-17,5.3393E-19,1.1036E-16,9.148E-19,1.4113E-16,1.0399E-18,1.3147E-16,6.0542E-19,3.0312E-17,3.071E-19,8.8473E-17,2.4446E-19,1.3779E-16,3.8072E-19,1.3766E-16,3.8037E-19,1.2907E-16,3.071E-19,0.021
45,1.028E-17,6.5332E-19,1.2382E-17,8.4393E-19,1.4914E-17,6.4562E-19,1.5136E-17,6.552E-19,3.4866E-17,9.9549E-19,5.932E-17,1.6391E-18,6.7858E-17,9.3749E-19,8.1059E-18,3.285E-19,2.6669E-17,2.9475E-19,5.4651E-17,4.5302E-19,6.3504E-17,4.6791E-19,7.0017E-17,4.5141E-19,0.021
46,2.9628E-19,2.3741E-20,4.0041E-19,2.3741E-20,4.7874E-19,2.3741E-20,5.1868E-19,2.723E-20,1.3137E-18,4.3559E-20,3.057E-18,7.6022E-20,4.0263E-18,5.1916E-20,1.9485E-19,1.1665E-20,9.9106E-19,5.1916E-20,2.6922E-18,1.9837E-20,3.6517E-18,2.6907E-20,4.3702E-18,2.8176E-20,0.021
47,1.0159E-17,7.4852E-20,1.1685E-17,9.6863E-20,1.2884E-17,8.3064E-20,1.3666E-17,7.5521E-20,3.0594E-17,1.1271E-19,4.2193E-17,1.9431E-19,4.1461E-17,1.1456E-19,7.8494E-18,4.3378E-20,2.3444E-17,4.3186E-20,4.0967E-17,3.7732E-20,4.2662E-17,3.9293E-20,4.196E-17,3.8647E-20,0.021
48,5.6823E-18,2.8261E-19,6.9012E-18,3.4324E-19,7.1866E-18,2.7138E-19,7.2933E-18,2.8213E-19,1.6723E-17,4.1588E-19,1.9739E-17,4.9087E-19,1.7528E-17,2.9058E-19,5.4466E-18,1.5049E-19,1.2768E-17,1.2936E-19,1.9648E-17,1.6287E-19,1.8938E-17,1.3954E-19,1.7657E-17,1.6263E-19,0.021
49,1.5176E-17,1.3977E-19,1.9353E-17,2.139E-19,2.3161E-17,1.7065E-19,2.5001E-17,1.8421E-19,5.7115E-17,2.6302E-19,1.027E-16,3.7834E-19,1.1085E-16,2.042E-19,9.2034E-18,6.7813E-20,4.405E-17,8.1144E-20,9.6549E-17,8.8925E-20,1.0943E-16,1.0079E-19,1.1344E-16,1.0448E-19,0.021
50,3.8769E-18,2.4281E-19,4.4267E-18,2.9763E-19,5.3961E-18,2.3359E-19,6.0545E-18,2.4536E-19,1.5208E-17,4.3423E-19,2.2745E-17,6.0751E-19,2.66E-17,3.6749E-19,2.9032E-18,1.0428E-19,1.0876E-17,1.3023E-19,2.1207E-17,1.7579E-19,2.524E-17,1.6273E-19,2.6478E-17,1.951E-19,0.021
51,3.7192E-18,7.1935E-20,4.2116E-18,9.6975E-20,4.9802E-18,6.8804E-20,5.4456E-18,7.0218E-20,1.3729E-17,1.2645E-19,2.3991E-17,1.9887E-19,3.102E-17,1.1428E-19,2.6573E-18,3.6712E-20,1.0103E-17,3.722E-20,2.2246E-17,6.1467E-20,2.7851E-17,5.1304E-20,3.2333E-17,5.9559E-20,0.021
52,1.2586E-17,4.7527E-19,1.3889E-17,6.2683E-19,1.3561E-17,4.7461E-19,1.3889E-17,4.8611E-19,2.8779E-17,6.8917E-19,3.2113E-17,8.5773E-19,2.8306E-17,4.432E-19,1.0034E-17,2.6801E-19,2.2381E-17,2.0614E-19,3.1906E-17,2.351E-19,3.0025E-17,2.4888E-19,2.7969E-17,2.3184E-19,0.021
53,1.6438E-17,9.3868E-19,1.8157E-17,1.3546E-18,2.185E-17,9.6598E-19,2.163E-17,9.9608E-19,5.4331E-17,1.5012E-18,8.4771E-17,2.3423E-18,7.8895E-17,1.308E-18,9.3637E-18,4.1397E-19,4.0912E-17,4.5217E-19,8.014E-17,6.6431E-19,8.4227E-17,6.9818E-19,8.148E-17,6.0036E-19,0.021
54,3.8349E-18,2.1192E-20,4.7397E-18,3.0558E-20,5.6983E-18,2.0993E-20,6.1794E-18,2.8457E-20,1.7577E-17,4.8568E-20,3.5657E-17,6.5683E-20,4.6876E-17,4.3174E-20,2.5903E-18,9.543E-21,1.2745E-17,1.1739E-20,3.2341E-17,2.9787E-20,4.2477E-17,3.9122E-20,4.9906E-17,4.5965E-20,0.021
55,3.0043E-17,1.1068E-19,3.669E-17,1.6896E-19,4.2949E-17,1.1867E-19,4.6147E-17,1.2751E-19,9.483E-17,1.7468E-19,1.4156E-16,2.6077E-19,1.3898E-16,1.28E-19,2.0689E-17,5.7167E-20,7.443E-17,6.8553E-20,1.3632E-16,1.2555E-19,1.4235E-16,1.3111E-19,1.3949E-16,1.2848E-19,0.021
56,8.8744E-18,5.5581E-19,1.0788E-17,8.0482E-19,1.2329E-17,5.6779E-19,1.3494E-17,5.3442E-19,3.5265E-17,9.4192E-19,4.9584E-17,1.233E-18,5.6616E-17,7.8218E-19,6.5605E-18,4.5568E-19,2.543E-17,7.8218E-19,4.8679E-17,4.5568E-19,5.4972E-17,4.5568E-19,5.7722E-17,4.2531E-19,0.021
57,2.7754E-18,5.6237E-20,3.349E-18,7.7115E-20,3.8915E-18,5.7348E-20,4.3184E-18,6.3638E-20,1.1698E-17,9.6971E-20,2.1603E-17,1.7908E-19,2.8374E-17,1.0453E-19,2.0803E-18,2.874E-20,8.3738E-18,3.085E-20,1.9793E-17,5.4691E-20,2.5546E-17,7.0586E-20,3.0014E-17,5.5288E-20,0.021
58,4.1E-17,2.6434E-19,4.4054E-17,3.246E-19,4.751E-17,2.6255E-19,4.8661E-17,2.6891E-19,1.0223E-16,3.7663E-19,1.1545E-16,4.2532E-19,1.0705E-16,1.9719E-19,3.4704E-17,1.2786E-19,7.8629E-17,1.4484E-19,1.1513E-16,1.0604E-19,1.1148E-16,1.0267E-19,1.0685E-16,1.2786E-19,0.021
59,5.4888E-19,4.4487E-20,6.6785E-19,6.3971E-20,7.9777E-19,4.9964E-20,8.5168E-19,5.0203E-20,2.5204E-18,8.3571E-20,5.56E-18,1.4851E-19,7.2157E-18,9.9688E-20,3.9398E-19,2.1047E-20,1.8633E-18,2.7458E-20,4.9874E-18,4.1342E-20,6.6294E-18,4.8848E-20,7.8249E-18,5.0449E-20,0.021
60,1.7061E-19,8.1711E-21,2.2182E-19,1.1032E-20,2.6792E-19,8.6366E-21,3.0875E-19,1.0237E-20,8.1134E-19,1.4945E-20,1.6596E-18,2.4457E-20,2.2636E-18,1.6679E-20,1.1771E-19,3.9028E-21,5.932E-19,4.9172E-21,1.5052E-18,6.9318E-21,2.0342E-18,7.4944E-21,2.3856E-18,8.7889E-21,0.021
61,5.0797E-17,3.275E-19,5.393E-17,3.477E-19,5.689E-17,2.6199E-19,5.7894E-17,2.6661E-19,1.1445E-16,4.2167E-19,1.2051E-16,4.4399E-19,1.0238E-16,2.829E-19,4.4079E-17,1.6239E-19,8.9998E-17,1.6578E-19,1.2107E-16,1.1151E-19,1.1031E-16,1.016E-19,1.0117E-16,9.3177E-20,0.021
62,6.0763E-18,2.5744E-19,7.3593E-18,3.2535E-19,8.7587E-18,2.6621E-19,9.542E-18,2.9002E-19,2.4123E-17,4.2215E-19,4.4796E-17,7.4265E-19,5.7443E-17,4.7616E-19,4.2898E-18,1.2248E-19,1.7638E-17,1.462E-19,4.0704E-17,1.8745E-19,5.1956E-17,2.3927E-19,6.0539E-17,2.2304E-19,0.021
63,1.398E-17,3.8629E-20,1.5471E-17,5.6997E-20,1.7011E-17,4.7002E-20,1.7552E-17,3.2331E-20,3.701E-17,6.8175E-20,4.2454E-17,7.8203E-20,3.7078E-17,3.415E-20,1.1197E-17,2.0626E-20,2.865E-17,2.6387E-20,4.2415E-17,3.9066E-20,4.0061E-17,3.6897E-20,3.6874E-17,3.3962E-20,0.021
64,5.5591E-18,2.5601E-20,7.2012E-18,3.3163E-20,8.6021E-18,2.3769E-20,9.2173E-18,2.5468E-20,2.0692E-17,3.8116E-20,3.3994E-17,6.262E-20,3.3435E-17,3.0795E-20,3.4435E-18,1.2686E-20,1.6047E-17,1.478E-20,3.2375E-17,2.9818E-20,3.4658E-17,3.1921E-20,3.3869E-17,3.1195E-20,0.021
65,8.6928E-18,5.6845E-19,1.0017E-17,8.1193E-19,1.2611E-17,6.6208E-19,1.2646E-17,6.7556E-19,3.5282E-17,1.0399E-18,6.6859E-17,1.8474E-18,6.9432E-17,1.0871E-18,4.2615E-18,2.669E-19,2.6179E-17,3.3757E-19,6.1483E-17,5.6628E-19,7.0788E-17,5.2158E-19,7.2838E-17,5.3669E-19,0.021
66,3.9978E-18,7.7325E-20,5.2363E-18,1.2539E-19,5.8428E-18,9.1485E-20,6.5497E-18,9.652E-20,1.7776E-17,1.6372E-19,3.6595E-17,2.6964E-19,4.8778E-17,1.797E-19,2.6731E-18,4.1855E-20,1.2937E-17,4.7661E-20,3.2978E-17,9.1121E-20,4.3634E-17,8.0376E-20,5.1644E-17,9.5132E-20,0.021
67,4.2018E-19,3.1347E-20,7.3357E-19,4.3917E-20,8.5475E-19,4.0937E-20,1.0535E-18,4.1724E-20,3.3284E-18,7.3574E-20,1.0239E-17,1.6031E-19,1.554E-17,1.145E-19,1.9545E-19,1.3141E-20,2.3782E-18,2.4094E-20,8.7305E-18,4.8247E-20,1.3435E-17,4.9497E-20,1.6914E-17,6.2313E-20,0.021
68,1.7419E-18,1.1712E-19,2.0981E-18,1.5073E-19,2.7229E-18,1.2539E-19,3.0948E-18,1.3112E-19,6.2954E-18,1.8555E-19,1.1551E-17,2.9789E-19,1.2689E-17,2.9789E-19,1.1205E-18,5.2635E-20,5.0609E-18,6.0596E-20,1.1052E-17,9.161E-20,1.2901E-17,9.5059E-20,1.3226E-17,9.7452E-20,0.021
69,6.2505E-19,6.3326E-21,7.398E-19,7.4952E-21,8.4472E-19,5.4461E-21,9.1267E-19,5.8842E-21,2.259E-18,8.3224E-21,3.4955E-18,1.2878E-20,3.8398E-18,1.061E-20,4.6894E-19,2.5914E-21,1.6762E-18,3.0876E-21,3.3076E-18,3.0464E-21,3.7386E-18,3.4434E-21,3.9474E-18,3.6357E-21,0.021
70,1.0751E-17,4.9509E-19,1.1963E-17,6.8314E-19,1.3251E-17,5.1258E-19,1.351E-17,5.1015E-19,3.0977E-17,7.9887E-19,4.0873E-17,1.0541E-18,3.7311E-17,6.1857E-19,8.7145E-18,2.6487E-19,2.3913E-17,2.643E-19,3.9833E-17,2.935E-19,3.9796E-17,2.9323E-19,3.818E-17,2.8132E-19,0.021
