galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
13,1.6209E-41,1.93E-43,1.5738E-41,2.6E-43,1.503E-41,1.93E-43,1.88E-41,2.42E-43,6.1228E-41,5.63E-43,2.2231E-40,2.456E-42,1.3695E-39,5.045E-42,1.4261E-41,7.8E-44,3.842E-41,1.42E-43,1.7838E-40,4.93E-43,7.4706E-40,1.376E-42,1.5099E-39,2.782E-42,0.09
14,7.54E-43,1.1E-43,1.583E-42,1.58E-43,1.491E-42,1.56E-43,2.262E-42,1.88E-43,1.5489E-41,7.41E-43,1.6383E-40,4.829E-42,1.4125E-39,1.4311E-41,4.36E-43,4.5E-44,7.001E-42,1.81E-43,1.1471E-40,1.162E-42,5.6963E-40,4.197E-42,1.7378E-39,9.603E-42,0.09
15,3.1E-44,1.4E-45,3.2E-44,1.4E-45,2.7E-44,1.4E-45,3.8E-44,1.4E-45,2.41E-43,4.2E-45,1.69E-42,2.5E-44,1.5148E-41,7.0E-44,3.4E-44,0.0,1.35E-43,1.4E-45,1.275E-42,7.0E-45,6.642E-42,1.4E-45,1.8262E-41,0.0,0.09
16,5.93E-43,5.6E-44,5.77E-43,6.4E-44,5.63E-43,4.6E-44,6.54E-43,6.7E-44,5.115E-42,2.83E-43,2.6768E-41,1.184E-42,2.198E-40,3.238E-42,7.58E-43,3.2E-44,2.887E-42,6.9E-44,2.04E-41,3.2E-43,1.0158E-40,1.029E-42,2.58E-40,1.902E-42,0.09
17,4.04E-43,1.4E-45,4.29E-43,1.4E-45,4.47E-43,1.4E-45,5.23E-43,1.4E-45,1.401E-42,4.2E-45,6.208E-42,1.7E-44,4.2399E-41,3.9E-44,3.38E-43,0.0,9.14E-43,1.4E-45,4.895E-42,4.2E-45,2.0863E-41,2.0E-44,4.8101E-41,4.5E-44,0.09
18,1.9514E-41,7.0E-43,1.9247E-41,1.01E-42,1.8808E-41,7.27E-43,2.4097E-41,8.88E-43,6.1709E-41,2.217E-42,2.3418E-40,7.98E-42,1.456E-39,2.0114E-41,1.483E-41,3.42E-43,3.798E-41,5.59E-43,1.8061E-40,1.997E-42,7.7472E-40,6.422E-42,1.6366E-39,1.206E-41,0.09
19,1.96E-43,5.6E-44,1.86E-43,7.0E-44,1.22E-43,7.0E-44,1.51E-43,7.0E-44,3.405E-42,3.39E-43,3.3127E-41,2.227E-42,4.4934E-40,7.863E-42,2.02E-43,2.7E-44,1.326E-42,8.1E-44,2.5222E-41,5.8E-43,1.5623E-40,2.158E-42,5.8962E-40,4.888E-42,0.09
20,7.224E-42,1.06E-43,7.013E-42,1.36E-43,7.117E-42,9.8E-44,8.582E-42,1.19E-43,2.8414E-41,3.4E-43,1.1533E-40,1.275E-42,7.6902E-40,3.541E-42,6.42E-42,4.8E-44,1.7683E-41,8.1E-44,9.1862E-41,8.1E-44,3.9989E-40,8.1E-44,8.6365E-40,1.59E-42,0.09
21,3.321E-42,1.35E-43,3.074E-42,1.64E-43,2.398E-42,1.37E-43,3.386E-42,1.65E-43,1.9449E-41,4.83E-43,9.4555E-41,2.178E-42,6.7125E-40,6.183E-42,3.42E-42,6.9E-44,1.0756E-41,1.29E-43,6.9965E-41,5.8E-43,3.3612E-40,1.858E-42,7.6646E-40,3.53E-42,0.09
22,7.884E-42,2.9E-44,7.87E-42,3.6E-44,7.818E-42,3.6E-44,9.47E-42,3.5E-44,3.2985E-41,9.1E-44,1.4939E-40,4.13E-43,1.0383E-39,9.56E-43,6.866E-42,1.3E-44,2.0208E-41,1.8E-44,1.1661E-40,1.08E-43,5.2617E-40,4.85E-43,1.1715E-39,1.079E-42,0.09
23,1.3E-43,1.4E-45,1.14E-43,1.4E-45,1.1E-43,1.4E-45,1.54E-43,1.4E-45,9.08E-43,4.2E-45,5.514E-42,2.0E-44,4.8115E-41,4.5E-44,1.32E-43,0.0,5.0E-43,1.4E-45,4.198E-42,4.2E-45,2.1452E-41,2.0E-44,5.7529E-41,5.3E-44,0.09
24,1.1E-44,0.0,9.8E-45,0.0,9.8E-45,0.0,1.4E-44,0.0,1.65E-43,2.8E-45,1.64E-42,1.5E-44,1.6519E-41,4.6E-44,1.4E-44,0.0,8.3E-44,0.0,1.142E-42,2.8E-45,6.545E-42,0.0,2.126E-41,0.0,0.09
25,5.2E-44,1.4E-45,4.3E-44,1.4E-45,3.6E-44,1.4E-45,5.5E-44,1.4E-45,5.68E-43,5.6E-45,4.076E-42,3.4E-44,4.0098E-41,1.11E-43,6.3E-44,0.0,2.94E-43,1.4E-45,3.053E-42,8.4E-45,1.728E-41,3.2E-44,4.9469E-41,4.6E-44,0.09
26,7.36E-43,5.6E-45,6.5E-43,8.4E-45,6.3E-43,5.6E-45,9.0E-43,8.4E-45,5.518E-42,2.5E-44,3.7137E-41,1.37E-43,3.387E-40,3.12E-43,7.41E-43,2.8E-45,2.999E-42,8.4E-45,2.7991E-41,2.5E-44,1.4515E-40,1.33E-43,4.1097E-40,3.78E-43,0.09
27,2.4443E-41,2.48E-43,2.3001E-41,2.48E-43,2.3022E-41,2.48E-43,2.8193E-41,2.86E-43,8.2366E-41,7.58E-43,2.6899E-40,2.726E-42,1.4892E-39,5.486E-42,2.2047E-41,1.22E-43,5.372E-41,1.98E-43,2.1724E-40,6.0E-43,8.3896E-40,2.318E-42,1.6464E-39,3.032E-42,0.09
28,1.323E-42,8.1E-44,1.22E-42,1.05E-43,1.03E-42,7.0E-44,1.512E-42,9.2E-44,9.932E-42,3.3E-43,5.6164E-41,1.603E-42,4.561E-40,4.621E-42,1.47E-42,3.9E-44,5.151E-42,8.5E-44,4.3118E-41,4.37E-43,2.0486E-40,1.321E-42,5.4332E-40,2.503E-42,0.09
29,6.257E-42,4.55E-43,6.68E-42,6.77E-43,7.748E-42,5.5E-43,9.781E-42,7.02E-43,4.3649E-41,2.131E-42,2.8653E-40,1.1084E-41,1.7154E-39,2.686E-41,3.611E-42,2.16E-43,2.4343E-41,5.83E-43,2.0322E-40,2.808E-42,8.7978E-40,8.104E-42,2.0304E-39,1.496E-41,0.09
30,3.572E-42,2.0E-44,3.065E-42,2.5E-44,2.811E-42,1.8E-44,3.869E-42,2.5E-44,2.1658E-41,8.0E-44,1.0895E-40,3.01E-43,8.4885E-40,7.82E-43,3.568E-42,9.8E-45,1.2225E-41,2.24E-44,8.4261E-41,7.7E-44,4.2153E-40,3.88E-43,9.7461E-40,8.98E-43,0.09
31,1.72E-43,1.4E-45,1.22E-43,1.4E-45,1.16E-43,1.4E-45,1.68E-43,1.4E-45,1.67E-42,9.8E-45,1.1087E-41,4.1E-44,1.0696E-40,9.8E-44,1.92E-43,1.4E-45,8.65E-43,2.8E-45,8.311E-42,7.0E-45,4.6735E-41,4.3E-44,1.3015E-40,1.2E-43,0.09
32,1.6977E-41,7.8E-44,1.8175E-41,1.01E-43,1.9636E-41,9.1E-44,2.3936E-41,1.11E-43,7.0057E-41,2.58E-43,3.6868E-40,1.019E-42,2.6342E-39,2.426E-42,1.3748E-41,3.8E-44,4.3356E-41,8.0E-44,2.8409E-40,2.62E-43,1.2355E-39,1.138E-42,3.0385E-39,2.798E-42,0.09
33,2.7359E-41,3.03E-43,2.8203E-41,4.41E-43,2.8701E-41,2.91E-43,3.394E-41,3.76E-43,8.0816E-41,8.18E-43,2.8359E-40,2.873E-42,1.6319E-39,7.515E-42,2.3051E-41,1.28E-43,5.479E-41,2.02E-43,2.2341E-40,8.23E-43,8.8368E-40,2.441E-42,1.8176E-39,3.348E-42,0.09
34,3.538E-42,1.23E-43,3.29E-42,1.54E-43,2.845E-42,1.15E-43,3.873E-42,1.61E-43,1.9268E-41,4.44E-43,8.4109E-41,1.781E-42,5.4056E-40,4.481E-42,3.674E-42,4.71E-43,1.116E-41,1.23E-43,6.3979E-41,4.71E-43,2.7954E-40,1.23E-43,6.1893E-40,2.85E-42,0.09
35,1.51E-43,4.2E-45,1.11E-43,5.6E-45,8.4E-44,4.2E-45,1.4E-43,5.6E-45,1.288E-42,5.6E-45,6.765E-42,8.7E-44,5.4283E-41,2.5E-43,1.74E-43,2.8E-45,6.8E-43,4.2E-45,5.146E-42,2.4E-44,2.5602E-41,7.0E-44,6.4723E-41,1.19E-43,0.09
36,1.4E-43,2.7E-44,1.22E-43,4.6E-44,1.61E-43,3.5E-44,2.28E-43,4.5E-44,3.328E-42,2.02E-43,4.1292E-41,1.445E-42,4.3438E-40,4.401E-42,1.0E-43,1.3E-44,1.596E-42,4.9E-44,2.8488E-41,3.4E-43,1.5699E-40,1.156E-42,5.4134E-40,2.493E-42,0.09
37,2.7146E-41,9.25E-43,2.4418E-41,1.282E-42,2.2935E-41,1.036E-42,3.131E-41,1.153E-42,9.3692E-41,2.934E-42,3.2938E-40,1.1224E-41,1.9449E-39,2.5079E-41,2.2809E-41,4.83E-43,5.5731E-41,7.7E-43,2.5264E-40,2.793E-42,1.0378E-39,8.603E-42,2.2208E-39,1.6363E-41,0.09
38,2.932E-42,8.4E-45,2.836E-42,9.8E-45,2.873E-42,1.1E-44,3.489E-42,9.8E-45,1.1004E-41,3.1E-44,4.13E-41,1.14E-43,2.5607E-40,2.35E-43,2.608E-42,4.2E-45,6.976E-42,7.0E-45,3.2867E-41,3.1E-44,1.3956E-40,1.29E-43,2.8181E-40,2.59E-43,0.09
39,1.244E-42,4.2E-45,1.226E-42,7.0E-45,1.246E-42,5.6E-45,1.553E-42,7.0E-45,5.207E-42,1.4E-44,2.3627E-41,6.6E-44,1.6573E-40,1.53E-43,1.125E-42,1.4E-45,3.184E-42,2.8E-45,1.839E-41,1.7E-44,7.9396E-41,7.3E-44,1.9222E-40,1.77E-43,0.09
40,1.3598E-41,1.01E-43,1.3686E-41,1.39E-43,1.3787E-41,1.01E-43,1.6334E-41,1.2E-43,5.545E-41,3.07E-43,2.3588E-40,1.303E-42,1.5933E-39,2.934E-42,1.203E-41,4.5E-44,3.4315E-41,9.5E-44,1.8463E-40,3.4E-43,8.354E-40,7.7E-43,1.7697E-39,1.63E-42,0.09
41,1.4365E-41,7.8E-43,1.5521E-41,1.086E-42,1.2557E-41,8.21E-43,1.4945E-41,9.08E-43,5.9552E-41,2.578E-42,2.7548E-40,1.2432E-41,1.9575E-39,3.0649E-41,1.25E-41,3.8E-43,3.5522E-41,6.87E-43,2.2187E-40,2.861E-42,9.9105E-40,8.216E-42,2.3404E-39,1.7244E-41,0.09
42,8.957E-42,3.4E-44,8.617E-42,3.9E-44,8.891E-42,3.2E-44,1.065E-41,3.9E-44,3.5659E-41,9.8E-44,1.4513E-40,4.01E-43,9.6776E-40,4.01E-43,7.888E-42,1.4E-44,2.2027E-41,2.0E-44,1.1507E-40,1.06E-43,4.9999E-40,4.61E-43,1.0858E-39,1.0E-42,0.09
43,4.022E-42,1.0E-43,3.379E-42,1.25E-43,3.233E-42,9.2E-44,4.337E-42,1.16E-43,2.4343E-41,4.04E-43,1.2882E-40,1.66E-42,1.0074E-39,4.64E-42,4.078E-42,4.9E-44,1.3588E-41,8.8E-44,9.8263E-41,4.53E-43,4.7162E-40,1.303E-42,1.2E-39,3.315E-42,0.09
44,1.57E-43,1.5E-44,1.53E-43,1.5E-44,1.12E-43,1.1E-44,1.75E-43,1.5E-44,1.628E-42,6.9E-44,1.1848E-41,3.49E-43,1.0716E-40,1.184E-42,1.794E-43,7.0E-45,8.62E-43,1.7E-44,8.504E-42,8.5E-44,4.7298E-41,3.05E-43,1.3075E-40,6.03E-43,0.09
45,2.0849E-41,3.8E-44,2.1671E-41,6.0E-44,2.2176E-41,6.2E-44,2.5438E-41,7.0E-44,6.0909E-41,1.12E-43,1.9929E-40,5.51E-43,1.1279E-39,1.038E-42,1.7778E-41,1.7E-44,4.1446E-41,3.8E-44,1.6021E-40,1.47E-43,6.1814E-40,5.69E-43,1.2448E-39,1.146E-42,0.09
46,5.8731E-41,9.74E-43,6.2932E-41,1.391E-42,6.2759E-41,1.04E-42,7.1725E-41,1.122E-42,1.6072E-40,2.517E-42,4.7607E-40,7.454E-42,2.3446E-39,1.7277E-41,5.0358E-41,4.64E-43,1.1263E-40,6.22E-43,3.8342E-40,2.119E-42,1.3781E-39,6.346E-42,2.5356E-39,1.1677E-41,0.09
47,1.18E-43,2.8E-45,8.7E-44,2.8E-45,7.3E-44,2.8E-45,1.23E-43,2.8E-45,1.214E-42,1.4E-44,9.314E-42,7.7E-44,9.7172E-41,2.69E-43,1.35E-43,1.4E-45,6.38E-43,4.2E-45,6.962E-42,2.0E-44,4.0359E-41,7.4E-44,1.2143E-40,1.12E-43,0.09
48,4.921E-42,1.9E-43,5.028E-42,2.87E-43,5.528E-42,2.24E-43,6.683E-42,2.58E-43,2.4352E-41,6.95E-43,1.3235E-40,3.292E-42,1.0105E-39,9.307E-42,4.275E-42,9.8E-44,1.4393E-41,1.99E-43,1.0312E-40,8.55E-43,4.7613E-40,2.632E-42,1.1613E-39,5.347E-42,0.09
49,6.88E-43,5.0E-44,6.36E-43,6.2E-44,4.74E-43,4.2E-44,7.33E-43,5.7E-44,6.43E-42,2.55E-43,4.1408E-41,1.183E-42,3.5147E-40,3.56E-42,8.06E-43,2.7E-44,3.429E-42,6.0E-44,2.9915E-41,3.03E-43,1.5772E-40,1.017E-42,4.2883E-40,2.37E-42,0.09
50,-999.0,-999.0,8.4E-45,2.8E-45,-999.0,-999.0,7.0E-45,2.8E-45,1.22E-43,2.1E-44,1.998E-42,1.64E-43,3.0324E-41,5.59E-43,2.8E-45,1.4E-45,6.4E-44,4.2E-45,1.718E-42,3.9E-44,1.0759E-41,1.49E-43,3.9029E-41,3.24E-43,0.09
51,1.641E-42,7.1E-44,1.484E-42,8.4E-44,1.541E-42,6.4E-44,1.782E-42,7.7E-44,1.0056E-41,2.69E-43,4.8617E-41,1.21E-42,3.4673E-40,3.194E-42,1.794E-42,3.6E-44,5.712E-42,6.9E-44,3.6306E-41,3.01E-43,1.7458E-40,9.64E-43,3.9736E-40,1.83E-42,0.09
52,4.8E-42,3.59E-43,4.0E-42,4.34E-43,3.981E-42,3.08E-43,4.885E-42,3.78E-43,2.9761E-41,1.316E-42,1.2649E-40,5.475E-42,1.0001E-39,1.658E-41,5.371E-42,1.74E-43,1.5982E-41,3.53E-43,1.0225E-40,1.319E-42,4.8445E-40,4.462E-42,1.1685E-39,9.686E-42,0.09
53,2.0247E-41,5.6E-44,2.1555E-41,8.0E-44,2.2467E-41,6.2E-44,2.6155E-41,7.3E-44,6.8163E-41,1.88E-43,2.6592E-40,7.34E-43,1.6671E-39,1.536E-42,1.6397E-41,3.1E-44,4.487E-41,4.1E-44,2.1201E-40,1.95E-43,9.0272E-40,8.31E-43,1.8245E-39,1.68E-42,0.09
54,3.199E-42,2.7E-43,2.835E-42,3.3E-43,3.094E-42,2.68E-43,3.34E-42,3.11E-43,1.9981E-41,1.012E-42,1.0661E-40,4.91E-42,8.547E-40,1.3382E-41,3.279E-42,1.36E-43,1.1174E-41,2.58E-43,7.9472E-41,1.244E-42,3.8709E-40,3.922E-42,1.0107E-39,7.447E-42,0.09
55,1.956E-42,8.4E-44,2.165E-42,1.1E-43,2.405E-42,8.8E-44,2.779E-42,1.0E-43,9.331E-42,2.83E-43,5.3546E-41,1.282E-42,3.5903E-40,3.307E-42,1.414E-42,3.4E-44,5.737E-42,7.4E-44,4.3086E-41,3.57E-43,1.7978E-40,8.28E-43,4.2066E-40,1.937E-42,0.09
56,2.665E-42,1.7E-44,2.283E-42,2.1E-44,2.115E-42,1.5E-44,2.947E-42,2.0E-44,1.6296E-41,6.0E-44,8.6473E-41,3.18E-43,6.5838E-40,6.07E-43,2.727E-42,7.0E-45,9.13E-42,1.7E-44,6.5476E-41,6.0E-44,3.0965E-40,2.86E-43,7.8357E-40,7.22E-43,0.09
57,7.075E-42,1.77E-43,7.423E-42,2.33E-43,7.075E-42,1.77E-43,8.625E-42,2.23E-43,2.7E-41,5.23E-43,1.0485E-40,2.028E-42,6.3236E-40,5.242E-42,6.254E-42,8.1E-44,1.7162E-41,1.43E-43,8.1764E-41,5.27E-43,3.4623E-40,1.595E-42,6.9657E-40,2.566E-42,0.09
58,6.21E-43,3.9E-44,4.85E-43,4.3E-44,3.64E-43,3.4E-44,5.98E-43,4.6E-44,5.876E-42,1.74E-43,3.027E-41,8.09E-43,2.5201E-40,2.32E-42,8.2E-43,2.24E-44,2.961E-42,4.3E-44,2.3627E-41,2.17E-43,1.1658E-40,7.51E-43,2.9717E-40,1.369E-42,0.09
59,1.6248E-41,1.95E-43,1.5403E-41,2.55E-43,1.553E-41,2.14E-43,1.8501E-41,2.38E-43,6.0701E-41,6.71E-43,2.2305E-40,2.26E-42,1.4126E-39,5.204E-42,1.41E-41,9.1E-44,3.7567E-41,1.39E-43,1.7848E-40,6.57E-43,7.656E-40,1.41E-42,1.556E-39,2.866E-42,0.09
60,6.76E-42,6.2E-44,6.93E-42,7.7E-44,7.196E-42,6.0E-44,8.362E-42,6.9E-44,1.9929E-41,1.65E-43,6.4789E-41,5.37E-43,3.6233E-40,1.335E-42,5.586E-42,3.1E-44,1.3686E-41,5.0E-44,5.276E-41,1.46E-43,2.0792E-40,3.83E-43,3.9328E-40,7.24E-43,0.09
61,1.382E-42,7.0E-45,1.513E-42,9.8E-45,1.705E-42,9.8E-45,2.05E-42,1.1E-44,6.756E-42,2.5E-44,4.2042E-41,1.16E-43,3.1309E-40,2.89E-43,1.08E-42,2.8E-45,4.01E-42,7.0E-45,3.1716E-41,2.9E-44,1.4089E-40,1.3E-43,3.6583E-40,3.36E-43,0.09
62,4.211E-42,3.84E-43,6.834E-42,5.66E-43,5.409E-42,4.68E-43,7.64E-42,4.78E-43,2.5114E-41,1.319E-42,1.4045E-40,6.468E-42,1.1943E-39,1.76E-41,4.211E-42,1.71E-43,1.55E-41,3.28E-43,1.2054E-40,1.777E-42,5.6274E-40,5.183E-42,1.3865E-39,1.0215E-41,0.09
63,2.894E-41,8.27E-43,3.1441E-41,1.1E-42,3.1441E-41,8.98E-43,3.7042E-41,9.56E-43,1.0137E-40,2.427E-42,3.9985E-40,9.575E-42,2.6176E-39,2.411E-41,2.5557E-41,3.77E-43,6.4195E-41,5.91E-43,3.2174E-40,2.371E-42,1.2856E-39,7.105E-42,2.9532E-39,1.36E-41,0.09
64,1.7E-44,5.0E-44,5.07E-43,1.28E-43,1.6E-43,1.28E-43,6.17E-43,1.65E-43,5.706E-42,6.73E-43,7.1909E-41,4.769E-42,8.7254E-40,1.3661E-41,1.77E-43,3.1E-44,2.992E-42,1.63E-43,6.126E-41,1.242E-42,3.3511E-40,1.63E-43,1.0735E-39,3.1E-44,0.09
65,9.057E-42,1.08E-43,8.737E-42,1.44E-43,8.633E-42,1.04E-43,1.0719E-41,1.39E-43,3.3462E-41,3.39E-43,1.1983E-40,1.214E-42,7.5466E-40,2.78E-42,8.161E-42,5.3E-44,2.1133E-41,7.8E-44,9.7488E-41,3.59E-43,4.0602E-40,1.122E-42,8.3129E-40,1.532E-42,0.09
66,1.39E-43,2.8E-45,1.14E-43,2.8E-45,1.08E-43,2.8E-45,1.98E-43,4.2E-45,2.748E-42,2.0E-44,2.982E-41,1.1E-43,2.9985E-40,5.52E-43,1.4E-43,1.4E-45,1.31E-42,4.2E-45,2.0802E-41,3.8E-44,1.2125E-40,1.12E-43,3.9021E-40,3.59E-43,0.09
67,1.63E-43,1.4E-45,1.46E-43,1.4E-45,1.36E-43,1.4E-45,1.92E-43,1.4E-45,1.181E-42,5.6E-45,7.755E-42,2.8E-44,6.8044E-41,6.3E-44,1.63E-43,0.0,6.47E-43,1.4E-45,5.834E-42,5.6E-45,3.045E-41,2.8E-44,8.1281E-41,7.4E-44,0.09
68,2.91E-43,2.8E-45,2.24E-43,2.8E-45,1.9E-43,2.8E-45,2.91E-43,4.2E-45,2.85E-42,1.5E-44,2.007E-41,9.2E-44,1.9254E-40,1.78E-43,3.39E-43,1.4E-45,1.48E-42,4.2E-45,1.4673E-41,2.7E-44,8.071E-41,7.4E-44,2.4106E-40,1.4E-45,0.09
69,1.92E-42,2.14E-43,4.002E-42,3.32E-43,4.246E-42,3.12E-43,5.958E-42,3.84E-43,3.1646E-41,1.225E-42,2.9724E-40,7.94E-42,2.3502E-39,2.1646E-41,1.062E-42,8.1E-44,1.498E-41,3.17E-43,2.114E-40,1.946E-42,9.8608E-40,6.358E-42,2.8282E-39,1.3024E-41,0.09
70,2.096E-42,2.7E-44,1.8E-42,2.9E-44,1.696E-42,2.4E-44,2.368E-42,3.1E-44,1.2905E-41,1.06E-43,6.8794E-41,4.44E-43,5.5405E-40,1.53E-42,2.1E-42,1.1E-44,7.23E-42,2.7E-44,5.296E-41,9.8E-44,2.6131E-40,4.8E-43,6.4677E-40,1.1E-44,0.09
71,1.118E-42,1.5E-44,1.333E-42,3.6E-44,1.77E-42,3.8E-44,2.339E-42,4.3E-44,1.2238E-41,1.47E-43,1.3592E-40,1.002E-42,1.2499E-39,2.302E-42,8.72E-43,1.3E-44,6.44E-42,3.5E-44,1.0104E-40,2.79E-43,4.9076E-40,9.04E-43,1.4848E-39,1.368E-42,0.09
72,1.6783E-41,2.0E-43,1.8082E-41,2.66E-43,1.8538E-41,2.05E-43,2.1681E-41,2.59E-43,5.645E-41,5.72E-43,2.1343E-40,2.358E-42,1.3221E-39,6.089E-42,1.396E-41,9.0E-44,3.7193E-41,1.71E-43,1.7079E-40,6.29E-43,7.035E-40,1.944E-42,1.4577E-39,2.685E-42,0.09
73,2.308E-42,2.0E-44,2.284E-42,2.5E-44,2.287E-42,2.0E-44,2.81E-42,2.4E-44,9.487E-42,6.2E-44,4.277E-41,2.37E-43,3.0168E-40,5.56E-43,1.998E-42,9.8E-45,5.828E-42,1.5E-44,3.3724E-41,6.2E-44,1.5203E-40,1.4E-43,3.3942E-40,3.12E-43,0.09
74,3.2E-44,0.0,2.24E-44,0.0,2.1E-44,0.0,3.4E-44,0.0,3.48E-43,2.8E-45,2.853E-42,1.3E-44,3.0159E-41,2.8E-44,3.6E-44,0.0,1.75E-43,0.0,2.085E-42,4.2E-45,1.1875E-41,1.1E-44,3.8708E-41,0.0,0.09
75,5.7E-43,2.24E-44,4.43E-43,2.24E-44,3.62E-43,1.7E-44,5.79E-43,2.24E-44,5.405E-42,1.0E-43,3.2691E-41,4.22E-43,2.9569E-40,1.362E-42,6.77E-43,1.1E-44,2.826E-42,2.7E-44,2.448E-41,3.6E-43,1.3051E-40,3.6E-43,3.6044E-40,9.96E-43,0.09
76,3.4075E-41,4.08E-43,3.5681E-41,4.93E-43,3.7122E-41,4.1E-43,4.169E-41,4.61E-43,1.0706E-40,1.183E-42,4.0591E-40,4.113E-42,2.526E-39,9.306E-42,2.7697E-41,1.78E-43,7.2182E-41,2.66E-43,3.2302E-40,8.93E-43,1.3716E-39,2.527E-42,2.7317E-39,5.032E-42,0.09
