# Filter transmission for J-PLUS filter iSDSS
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
6524    0.000     0.000 
6525    0.000     0.000 
6526    0.000     0.000 
6527    0.000     0.000 
6528    0.000     0.000 
6529    0.000     0.000 
6530    0.000     0.000 
6531    0.000     0.000 
6532    0.000     0.000 
6533    0.000     0.000 
6534    0.000     0.000 
6535    0.000     0.000 
6536    0.000     0.000 
6537    0.000     0.000 
6538    0.000     0.000 
6539    0.000     0.000 
6540    0.000     0.000 
6541    0.000     0.000 
6542    0.000     0.000 
6543    0.000     0.000 
6544    0.000     0.000 
6545    0.000     0.000 
6546    0.000     0.000 
6547    0.000     0.000 
6548    0.000     0.000 
6549    0.000     0.000 
6550    0.000     0.000 
6551    0.000     0.000 
6552    0.000     0.000 
6553    0.000     0.000 
6554    0.000     0.000 
6555    0.000     0.000 
6556    0.000     0.000 
6557    0.000     0.000 
6558    0.000     0.000 
6559    0.000     0.000 
6560    0.000     0.000 
6561    0.000     0.000 
6562    0.000     0.000 
6563    0.000     0.000 
6564    0.000     0.000 
6565    0.000     0.000 
6566    0.000     0.000 
6567    0.000     0.000 
6568    0.000     0.000 
6569    0.000     0.000 
6570    0.000     0.000 
6571    0.000     0.000 
6572    0.000     0.000 
6573    0.000     0.000 
6574    0.000     0.000 
6575    0.000     0.000 
6576    0.000     0.000 
6577    0.000     0.000 
6578    0.000     0.000 
6579    0.000     0.000 
6580    0.000     0.000 
6581    0.000     0.000 
6582    0.000     0.000 
6583    0.000     0.000 
6584    0.000     0.000 
6585    0.000     0.000 
6586    0.000     0.000 
6587    0.000     0.000 
6588    0.000     0.000 
6589    0.000     0.000 
6590    0.000     0.000 
6591    0.000     0.000 
6592    0.000     0.000 
6593    0.000     0.000 
6594    0.000     0.000 
6595    0.000     0.000 
6596    0.000     0.000 
6597    0.000     0.000 
6598    0.000     0.000 
6599    0.000     0.000 
6600    0.000     0.000 
6601    0.000     0.000 
6602    0.000     0.000 
6603    0.000     0.000 
6604    0.000     0.000 
6605    0.000     0.000 
6606    0.000     0.000 
6607    0.000     0.000 
6608    0.000     0.000 
6609    0.000     0.000 
6610    0.001     0.000 
6611    0.001     0.000 
6612    0.001     0.000 
6613    0.001     0.001 
6614    0.001     0.001 
6615    0.001     0.001 
6616    0.001     0.001 
6617    0.001     0.001 
6618    0.001     0.001 
6619    0.001     0.001 
6620    0.001     0.001 
6621    0.001     0.001 
6622    0.001     0.001 
6623    0.001     0.001 
6624    0.001     0.001 
6625    0.001     0.001 
6626    0.001     0.001 
6627    0.001     0.001 
6628    0.001     0.001 
6629    0.001     0.001 
6630    0.001     0.001 
6631    0.001     0.001 
6632    0.001     0.001 
6633    0.001     0.001 
6634    0.001     0.001 
6635    0.001     0.001 
6636    0.001     0.001 
6637    0.001     0.001 
6638    0.001     0.001 
6639    0.001     0.001 
6640    0.001     0.001 
6641    0.001     0.001 
6642    0.001     0.001 
6643    0.001     0.001 
6644    0.001     0.001 
6645    0.001     0.001 
6646    0.001     0.001 
6647    0.001     0.001 
6648    0.001     0.001 
6649    0.001     0.001 
6650    0.002     0.001 
6651    0.002     0.001 
6652    0.002     0.001 
6653    0.002     0.002 
6654    0.002     0.002 
6655    0.002     0.002 
6656    0.002     0.002 
6657    0.002     0.002 
6658    0.002     0.002 
6659    0.002     0.002 
6660    0.002     0.002 
6661    0.002     0.002 
6662    0.002     0.002 
6663    0.002     0.002 
6664    0.002     0.002 
6665    0.002     0.002 
6666    0.002     0.002 
6667    0.002     0.002 
6668    0.003     0.002 
6669    0.003     0.002 
6670    0.003     0.002 
6671    0.003     0.003 
6672    0.003     0.003 
6673    0.003     0.003 
6674    0.003     0.003 
6675    0.003     0.003 
6676    0.003     0.003 
6677    0.003     0.003 
6678    0.003     0.003 
6679    0.004     0.003 
6680    0.004     0.003 
6681    0.004     0.003 
6682    0.004     0.004 
6683    0.004     0.004 
6684    0.004     0.004 
6685    0.004     0.004 
6686    0.004     0.004 
6687    0.004     0.004 
6688    0.005     0.004 
6689    0.005     0.004 
6690    0.005     0.004 
6691    0.005     0.005 
6692    0.005     0.005 
6693    0.005     0.005 
6694    0.005     0.005 
6695    0.006     0.005 
6696    0.006     0.005 
6697    0.006     0.005 
6698    0.006     0.006 
6699    0.006     0.006 
6700    0.007     0.006 
6701    0.007     0.006 
6702    0.007     0.006 
6703    0.007     0.006 
6704    0.007     0.007 
6705    0.007     0.007 
6706    0.008     0.007 
6707    0.008     0.007 
6708    0.008     0.007 
6709    0.008     0.008 
6710    0.009     0.008 
6711    0.009     0.008 
6712    0.009     0.008 
6713    0.009     0.009 
6714    0.010     0.009 
6715    0.010     0.009 
6716    0.010     0.009 
6717    0.011     0.010 
6718    0.011     0.010 
6719    0.011     0.010 
6720    0.011     0.010 
6721    0.012     0.011 
6722    0.012     0.011 
6723    0.012     0.011 
6724    0.013     0.012 
6725    0.013     0.012 
6726    0.013     0.012 
6727    0.014     0.013 
6728    0.014     0.013 
6729    0.015     0.013 
6730    0.015     0.014 
6731    0.015     0.014 
6732    0.016     0.014 
6733    0.016     0.015 
6734    0.017     0.015 
6735    0.017     0.016 
6736    0.018     0.016 
6737    0.018     0.017 
6738    0.019     0.017 
6739    0.019     0.018 
6740    0.020     0.018 
6741    0.020     0.019 
6742    0.021     0.019 
6743    0.021     0.020 
6744    0.022     0.020 
6745    0.023     0.021 
6746    0.023     0.021 
6747    0.024     0.022 
6748    0.024     0.022 
6749    0.025     0.023 
6750    0.026     0.024 
6751    0.026     0.024 
6752    0.027     0.025 
6753    0.028     0.026 
6754    0.029     0.026 
6755    0.029     0.027 
6756    0.030     0.028 
6757    0.031     0.028 
6758    0.032     0.029 
6759    0.032     0.030 
6760    0.033     0.030 
6761    0.034     0.031 
6762    0.035     0.032 
6763    0.036     0.033 
6764    0.037     0.034 
6765    0.038     0.035 
6766    0.038     0.035 
6767    0.039     0.036 
6768    0.040     0.037 
6769    0.041     0.038 
6770    0.042     0.039 
6771    0.043     0.040 
6772    0.044     0.041 
6773    0.045     0.042 
6774    0.046     0.043 
6775    0.048     0.044 
6776    0.049     0.045 
6777    0.050     0.046 
6778    0.051     0.047 
6779    0.052     0.048 
6780    0.053     0.049 
6781    0.055     0.051 
6782    0.056     0.052 
6783    0.057     0.053 
6784    0.058     0.054 
6785    0.060     0.055 
6786    0.061     0.057 
6787    0.063     0.058 
6788    0.064     0.059 
6789    0.065     0.060 
6790    0.067     0.062 
6791    0.068     0.063 
6792    0.069     0.064 
6793    0.071     0.065 
6794    0.072     0.067 
6795    0.073     0.068 
6796    0.075     0.069 
6797    0.077     0.071 
6798    0.078     0.072 
6799    0.080     0.074 
6800    0.082     0.076 
6801    0.083     0.077 
6802    0.085     0.079 
6803    0.087     0.080 
6804    0.088     0.082 
6805    0.090     0.083 
6806    0.092     0.085 
6807    0.093     0.086 
6808    0.095     0.088 
6809    0.097     0.090 
6810    0.099     0.091 
6811    0.101     0.093 
6812    0.103     0.095 
6813    0.105     0.096 
6814    0.107     0.098 
6815    0.109     0.100 
6816    0.111     0.102 
6817    0.113     0.104 
6818    0.115     0.105 
6819    0.117     0.107 
6820    0.119     0.109 
6821    0.121     0.111 
6822    0.123     0.113 
6823    0.125     0.115 
6824    0.128     0.117 
6825    0.130     0.119 
6826    0.132     0.121 
6827    0.135     0.123 
6828    0.137     0.125 
6829    0.139     0.127 
6830    0.142     0.129 
6831    0.144     0.131 
6832    0.146     0.133 
6833    0.149     0.135 
6834    0.151     0.137 
6835    0.154     0.140 
6836    0.157     0.142 
6837    0.159     0.144 
6838    0.162     0.146 
6839    0.165     0.149 
6840    0.168     0.151 
6841    0.170     0.153 
6842    0.173     0.156 
6843    0.176     0.158 
6844    0.178     0.160 
6845    0.181     0.162 
6846    0.184     0.164 
6847    0.186     0.167 
6848    0.189     0.169 
6849    0.192     0.171 
6850    0.195     0.174 
6851    0.198     0.176 
6852    0.201     0.178 
6853    0.203     0.181 
6854    0.206     0.183 
6855    0.209     0.185 
6856    0.212     0.188 
6857    0.215     0.190 
6858    0.218     0.193 
6859    0.221     0.195 
6860    0.224     0.198 
6861    0.228     0.201 
6862    0.231     0.203 
6863    0.234     0.206 
6864    0.237     0.208 
6865    0.240     0.211 
6866    0.243     0.213 
6867    0.246     0.216 
6868    0.249     0.218 
6869    0.253     0.221 
6870    0.256     0.224 
6871    0.259     0.226 
6872    0.262     0.229 
6873    0.266     0.232 
6874    0.269     0.235 
6875    0.272     0.237 
6876    0.276     0.240 
6877    0.279     0.243 
6878    0.282     0.245 
6879    0.286     0.248 
6880    0.289     0.250 
6881    0.292     0.253 
6882    0.295     0.256 
6883    0.298     0.259 
6884    0.301     0.262 
6885    0.305     0.265 
6886    0.308     0.268 
6887    0.311     0.270 
6888    0.315     0.273 
6889    0.318     0.276 
6890    0.321     0.279 
6891    0.325     0.282 
6892    0.328     0.285 
6893    0.332     0.288 
6894    0.335     0.291 
6895    0.339     0.295 
6896    0.342     0.298 
6897    0.346     0.301 
6898    0.350     0.304 
6899    0.354     0.308 
6900    0.357     0.311 
6901    0.361     0.314 
6902    0.365     0.318 
6903    0.368     0.321 
6904    0.372     0.324 
6905    0.375     0.327 
6906    0.378     0.330 
6907    0.382     0.333 
6908    0.385     0.336 
6909    0.389     0.340 
6910    0.392     0.343 
6911    0.396     0.347 
6912    0.400     0.350 
6913    0.404     0.354 
6914    0.407     0.358 
6915    0.411     0.361 
6916    0.415     0.365 
6917    0.418     0.368 
6918    0.422     0.372 
6919    0.426     0.376 
6920    0.430     0.379 
6921    0.433     0.383 
6922    0.437     0.387 
6923    0.441     0.390 
6924    0.445     0.394 
6925    0.449     0.398 
6926    0.452     0.401 
6927    0.456     0.405 
6928    0.460     0.408 
6929    0.463     0.412 
6930    0.467     0.415 
6931    0.470     0.419 
6932    0.474     0.423 
6933    0.478     0.426 
6934    0.481     0.430 
6935    0.484     0.433 
6936    0.487     0.437 
6937    0.491     0.440 
6938    0.495     0.444 
6939    0.498     0.448 
6940    0.502     0.451 
6941    0.505     0.455 
6942    0.509     0.458 
6943    0.512     0.462 
6944    0.515     0.465 
6945    0.519     0.469 
6946    0.522     0.473 
6947    0.526     0.476 
6948    0.530     0.480 
6949    0.533     0.484 
6950    0.537     0.488 
6951    0.540     0.491 
6952    0.543     0.494 
6953    0.546     0.498 
6954    0.550     0.502 
6955    0.553     0.505 
6956    0.556     0.508 
6957    0.560     0.512 
6958    0.563     0.515 
6959    0.567     0.519 
6960    0.570     0.522 
6961    0.574     0.526 
6962    0.577     0.529 
6963    0.580     0.533 
6964    0.584     0.536 
6965    0.587     0.539 
6966    0.590     0.542 
6967    0.593     0.545 
6968    0.596     0.548 
6969    0.599     0.552 
6970    0.602     0.555 
6971    0.606     0.558 
6972    0.609     0.561 
6973    0.611     0.564 
6974    0.614     0.567 
6975    0.616     0.569 
6976    0.618     0.572 
6977    0.621     0.575 
6978    0.624     0.578 
6979    0.628     0.582 
6980    0.631     0.585 
6981    0.635     0.589 
6982    0.639     0.592 
6983    0.641     0.595 
6984    0.644     0.598 
6985    0.647     0.600 
6986    0.650     0.603 
6987    0.653     0.605 
6988    0.655     0.608 
6989    0.659     0.611 
6990    0.662     0.614 
6991    0.665     0.617 
6992    0.669     0.620 
6993    0.671     0.623 
6994    0.674     0.626 
6995    0.677     0.628 
6996    0.679     0.631 
6997    0.682     0.633 
6998    0.684     0.635 
6999    0.686     0.637 
7000    0.689     0.640 
7001    0.692     0.643 
7002    0.695     0.645 
7003    0.698     0.648 
7004    0.701     0.651 
7005    0.704     0.654 
7006    0.706     0.656 
7007    0.709     0.659 
7008    0.712     0.662 
7009    0.714     0.665 
7010    0.716     0.667 
7011    0.718     0.669 
7012    0.720     0.671 
7013    0.722     0.673 
7014    0.724     0.675 
7015    0.726     0.678 
7016    0.728     0.680 
7017    0.731     0.683 
7018    0.734     0.686 
7019    0.737     0.688 
7020    0.739     0.691 
7021    0.742     0.694 
7022    0.744     0.696 
7023    0.747     0.699 
7024    0.749     0.702 
7025    0.751     0.704 
7026    0.754     0.706 
7027    0.756     0.709 
7028    0.759     0.712 
7029    0.760     0.714 
7030    0.762     0.716 
7031    0.764     0.718 
7032    0.767     0.721 
7033    0.768     0.722 
7034    0.769     0.724 
7035    0.772     0.727 
7036    0.774     0.730 
7037    0.776     0.732 
7038    0.778     0.734 
7039    0.780     0.737 
7040    0.782     0.739 
7041    0.784     0.742 
7042    0.786     0.744 
7043    0.788     0.746 
7044    0.790     0.748 
7045    0.791     0.750 
7046    0.793     0.752 
7047    0.795     0.754 
7048    0.796     0.756 
7049    0.798     0.758 
7050    0.799     0.760 
7051    0.801     0.762 
7052    0.802     0.764 
7053    0.804     0.766 
7054    0.806     0.768 
7055    0.807     0.770 
7056    0.809     0.772 
7057    0.811     0.773 
7058    0.812     0.775 
7059    0.814     0.777 
7060    0.816     0.778 
7061    0.817     0.780 
7062    0.819     0.782 
7063    0.820     0.783 
7064    0.821     0.784 
7065    0.824     0.786 
7066    0.826     0.789 
7067    0.827     0.790 
7068    0.829     0.791 
7069    0.831     0.793 
7070    0.833     0.795 
7071    0.834     0.796 
7072    0.835     0.797 
7073    0.836     0.799 
7074    0.837     0.800 
7075    0.839     0.801 
7076    0.840     0.803 
7077    0.841     0.804 
7078    0.843     0.805 
7079    0.844     0.807 
7080    0.846     0.808 
7081    0.847     0.809 
7082    0.848     0.810 
7083    0.850     0.812 
7084    0.851     0.814 
7085    0.852     0.815 
7086    0.854     0.816 
7087    0.855     0.817 
7088    0.857     0.819 
7089    0.858     0.820 
7090    0.859     0.821 
7091    0.860     0.822 
7092    0.861     0.823 
7093    0.862     0.824 
7094    0.864     0.826 
7095    0.865     0.826 
7096    0.866     0.827 
7097    0.867     0.829 
7098    0.869     0.831 
7099    0.870     0.832 
7100    0.872     0.833 
7101    0.873     0.835 
7102    0.875     0.836 
7103    0.875     0.837 
7104    0.876     0.837 
7105    0.876     0.838 
7106    0.877     0.838 
7107    0.878     0.838 
7108    0.878     0.839 
7109    0.879     0.839 
7110    0.880     0.840 
7111    0.881     0.840 
7112    0.882     0.841 
7113    0.883     0.842 
7114    0.885     0.843 
7115    0.886     0.844 
7116    0.887     0.845 
7117    0.889     0.846 
7118    0.890     0.847 
7119    0.890     0.847 
7120    0.891     0.847 
7121    0.892     0.847 
7122    0.892     0.848 
7123    0.893     0.848 
7124    0.894     0.848 
7125    0.895     0.849 
7126    0.896     0.850 
7127    0.897     0.850 
7128    0.897     0.850 
7129    0.898     0.850 
7130    0.898     0.851 
7131    0.899     0.850 
7132    0.899     0.849 
7133    0.900     0.848 
7134    0.901     0.847 
7135    0.902     0.847 
7136    0.904     0.847 
7137    0.905     0.846 
7138    0.905     0.845 
7139    0.906     0.844 
7140    0.906     0.843 
7141    0.906     0.841 
7142    0.906     0.839 
7143    0.906     0.838 
7144    0.907     0.837 
7145    0.908     0.837 
7146    0.909     0.836 
7147    0.911     0.836 
7148    0.912     0.835 
7149    0.913     0.835 
7150    0.914     0.834 
7151    0.915     0.833 
7152    0.915     0.832 
7153    0.916     0.831 
7154    0.917     0.830 
7155    0.918     0.830 
7156    0.919     0.830 
7157    0.919     0.829 
7158    0.920     0.828 
7159    0.920     0.826 
7160    0.919     0.825 
7161    0.920     0.824 
7162    0.920     0.823 
7163    0.920     0.822 
7164    0.921     0.821 
7165    0.922     0.821 
7166    0.923     0.821 
7167    0.924     0.820 
7168    0.924     0.819 
7169    0.925     0.818 
7170    0.925     0.817 
7171    0.925     0.817 
7172    0.926     0.816 
7173    0.926     0.815 
7174    0.927     0.814 
7175    0.928     0.814 
7176    0.929     0.813 
7177    0.929     0.812 
7178    0.929     0.811 
7179    0.929     0.810 
7180    0.930     0.809 
7181    0.930     0.810 
7182    0.931     0.811 
7183    0.931     0.812 
7184    0.932     0.813 
7185    0.932     0.814 
7186    0.933     0.815 
7187    0.933     0.815 
7188    0.933     0.816 
7189    0.934     0.817 
7190    0.935     0.818 
7191    0.936     0.819 
7192    0.936     0.820 
7193    0.937     0.821 
7194    0.938     0.823 
7195    0.938     0.823 
7196    0.937     0.823 
7197    0.938     0.824 
7198    0.938     0.825 
7199    0.938     0.825 
7200    0.938     0.826 
7201    0.939     0.827 
7202    0.939     0.828 
7203    0.940     0.829 
7204    0.941     0.830 
7205    0.941     0.830 
7206    0.941     0.831 
7207    0.941     0.832 
7208    0.942     0.833 
7209    0.942     0.834 
7210    0.942     0.835 
7211    0.942     0.836 
7212    0.943     0.838 
7213    0.943     0.839 
7214    0.944     0.840 
7215    0.945     0.842 
7216    0.946     0.843 
7217    0.946     0.844 
7218    0.946     0.845 
7219    0.947     0.846 
7220    0.947     0.848 
7221    0.947     0.848 
7222    0.947     0.849 
7223    0.947     0.850 
7224    0.947     0.851 
7225    0.947     0.852 
7226    0.947     0.853 
7227    0.948     0.854 
7228    0.948     0.855 
7229    0.948     0.856 
7230    0.949     0.857 
7231    0.949     0.857 
7232    0.950     0.858 
7233    0.950     0.858 
7234    0.950     0.858 
7235    0.950     0.858 
7236    0.950     0.858 
7237    0.950     0.859 
7238    0.951     0.859 
7239    0.951     0.860 
7240    0.952     0.860 
7241    0.952     0.861 
7242    0.953     0.861 
7243    0.952     0.861 
7244    0.952     0.861 
7245    0.952     0.861 
7246    0.952     0.861 
7247    0.953     0.862 
7248    0.953     0.862 
7249    0.953     0.862 
7250    0.954     0.863 
7251    0.954     0.863 
7252    0.954     0.863 
7253    0.954     0.863 
7254    0.955     0.864 
7255    0.956     0.865 
7256    0.957     0.865 
7257    0.957     0.866 
7258    0.958     0.866 
7259    0.958     0.866 
7260    0.958     0.866 
7261    0.958     0.866 
7262    0.958     0.865 
7263    0.957     0.865 
7264    0.957     0.864 
7265    0.956     0.864 
7266    0.956     0.863 
7267    0.956     0.864 
7268    0.957     0.864 
7269    0.958     0.864 
7270    0.958     0.865 
7271    0.959     0.865 
7272    0.959     0.865 
7273    0.959     0.865 
7274    0.958     0.864 
7275    0.958     0.864 
7276    0.959     0.865 
7277    0.959     0.864 
7278    0.959     0.864 
7279    0.959     0.865 
7280    0.960     0.865 
7281    0.960     0.866 
7282    0.961     0.866 
7283    0.960     0.866 
7284    0.960     0.866 
7285    0.960     0.867 
7286    0.960     0.867 
7287    0.960     0.867 
7288    0.959     0.866 
7289    0.960     0.868 
7290    0.961     0.869 
7291    0.962     0.870 
7292    0.963     0.871 
7293    0.963     0.871 
7294    0.964     0.872 
7295    0.964     0.873 
7296    0.965     0.874 
7297    0.964     0.873 
7298    0.963     0.873 
7299    0.963     0.873 
7300    0.963     0.873 
7301    0.962     0.872 
7302    0.961     0.872 
7303    0.962     0.873 
7304    0.962     0.874 
7305    0.962     0.874 
7306    0.963     0.875 
7307    0.963     0.876 
7308    0.964     0.878 
7309    0.964     0.878 
7310    0.964     0.879 
7311    0.964     0.880 
7312    0.964     0.881 
7313    0.964     0.882 
7314    0.965     0.883 
7315    0.965     0.884 
7316    0.965     0.885 
7317    0.965     0.886 
7318    0.965     0.887 
7319    0.965     0.888 
7320    0.965     0.888 
7321    0.965     0.889 
7322    0.964     0.889 
7323    0.964     0.890 
7324    0.964     0.891 
7325    0.963     0.891 
7326    0.963     0.891 
7327    0.963     0.892 
7328    0.963     0.893 
7329    0.963     0.893 
7330    0.962     0.894 
7331    0.962     0.894 
7332    0.962     0.894 
7333    0.963     0.895 
7334    0.964     0.896 
7335    0.964     0.896 
7336    0.964     0.897 
7337    0.964     0.897 
7338    0.964     0.897 
7339    0.964     0.898 
7340    0.964     0.898 
7341    0.965     0.899 
7342    0.965     0.900 
7343    0.965     0.900 
7344    0.965     0.900 
7345    0.965     0.900 
7346    0.965     0.900 
7347    0.964     0.900 
7348    0.964     0.900 
7349    0.965     0.901 
7350    0.966     0.902 
7351    0.967     0.903 
7352    0.968     0.904 
7353    0.968     0.905 
7354    0.968     0.905 
7355    0.968     0.905 
7356    0.968     0.905 
7357    0.967     0.904 
7358    0.966     0.903 
7359    0.967     0.904 
7360    0.967     0.904 
7361    0.968     0.905 
7362    0.968     0.905 
7363    0.968     0.905 
7364    0.968     0.905 
7365    0.967     0.904 
7366    0.967     0.904 
7367    0.967     0.904 
7368    0.966     0.903 
7369    0.967     0.904 
7370    0.968     0.904 
7371    0.967     0.904 
7372    0.967     0.903 
7373    0.968     0.904 
7374    0.968     0.905 
7375    0.969     0.905 
7376    0.969     0.905 
7377    0.970     0.906 
7378    0.970     0.907 
7379    0.970     0.906 
7380    0.969     0.905 
7381    0.970     0.906 
7382    0.970     0.906 
7383    0.970     0.906 
7384    0.970     0.907 
7385    0.970     0.907 
7386    0.970     0.907 
7387    0.969     0.906 
7388    0.968     0.905 
7389    0.967     0.904 
7390    0.967     0.904 
7391    0.967     0.904 
7392    0.968     0.905 
7393    0.969     0.906 
7394    0.969     0.906 
7395    0.970     0.907 
7396    0.970     0.907 
7397    0.971     0.908 
7398    0.971     0.908 
7399    0.972     0.909 
7400    0.972     0.909 
7401    0.972     0.909 
7402    0.972     0.909 
7403    0.971     0.909 
7404    0.971     0.908 
7405    0.972     0.909 
7406    0.972     0.909 
7407    0.972     0.910 
7408    0.973     0.910 
7409    0.972     0.910 
7410    0.972     0.909 
7411    0.971     0.909 
7412    0.971     0.908 
7413    0.970     0.908 
7414    0.970     0.908 
7415    0.971     0.909 
7416    0.971     0.909 
7417    0.971     0.909 
7418    0.971     0.909 
7419    0.971     0.909 
7420    0.972     0.910 
7421    0.972     0.910 
7422    0.971     0.909 
7423    0.972     0.910 
7424    0.973     0.911 
7425    0.972     0.910 
7426    0.972     0.910 
7427    0.971     0.910 
7428    0.971     0.910 
7429    0.971     0.909 
7430    0.971     0.909 
7431    0.972     0.910 
7432    0.973     0.911 
7433    0.973     0.911 
7434    0.972     0.911 
7435    0.972     0.911 
7436    0.973     0.911 
7437    0.972     0.911 
7438    0.972     0.910 
7439    0.973     0.911 
7440    0.974     0.912 
7441    0.973     0.911 
7442    0.973     0.911 
7443    0.972     0.910 
7444    0.972     0.910 
7445    0.972     0.910 
7446    0.972     0.910 
7447    0.973     0.911 
